"","date","maxtempC","mintempC","totalSnow_cm","sunHour","uvIndex","moon_illumination","DewPointC","FeelsLikeC","HeatIndexC","WindChillC","WindGustKmph","cloudcover","humidity","precipMM","pressure","tempC","visibility","winddirDegree","windspeedKmph","AQI","AQI_Explained","date_time","moonrise","moonset","sunrise","sunset","location"
"523","2015-06-10",29,22,0,8.8,6,32,22,27,27,25,15,89,86,2.2,1005,29,7,154,11,183,"Unhealthy","2015-06-10","12:07 AM","12:22 PM","04:50 AM","06:57 PM","shanghai"
"524","2015-06-11",30,24,0,11.1,6,24,21,30,30,28,23,44,69,0,1004,30,9,240,16,306,"Hazardous","2015-06-11","12:47 AM","01:26 PM","04:50 AM","06:58 PM","shanghai"
"525","2015-06-12",34,23,0,14.1,8,17,19,32,32,30,22,7,57,0,1007,34,10,210,16,319,"Hazardous","2015-06-12","01:28 AM","02:29 PM","04:50 AM","06:58 PM","shanghai"
"526","2015-06-13",32,24,0,9.9,6,9,19,29,29,27,19,63,62,0,1005,32,10,211,13,314,"Hazardous","2015-06-13","02:10 AM","03:33 PM","04:50 AM","06:58 PM","shanghai"
"527","2015-06-14",31,24,0,11.1,6,2,20,28,28,26,17,49,68,0,1008,31,10,207,13,233,"Very unhealthy","2015-06-14","02:55 AM","04:35 PM","04:50 AM","06:59 PM","shanghai"
"528","2015-06-15",26,23,0,8.8,6,0,23,29,29,26,9,84,84,16.5,1008,26,8,112,7,253,"Very unhealthy","2015-06-15","03:43 AM","05:36 PM","04:50 AM","06:59 PM","shanghai"
"529","2015-06-16",25,22,0,10.2,5,0,21,25,25,23,21,89,87,6.8,1006,25,9,92,16,183,"Unhealthy","2015-06-16","04:33 AM","06:33 PM","04:50 AM","07:00 PM","shanghai"
"530","2015-06-17",29,22,0,10.2,6,0,23,28,28,25,20,89,87,7.7,1001,29,9,167,14,138,"Unhealthy for sensitive groups","2015-06-17","05:26 AM","07:27 PM","04:50 AM","07:00 PM","shanghai"
"531","2015-06-18",24,20,0,11.2,5,6,20,25,25,23,15,78,86,3.7,1005,24,10,52,11,138,"Unhealthy for sensitive groups","2015-06-18","06:21 AM","08:16 PM","04:51 AM","07:00 PM","shanghai"
"532","2015-06-19",27,19,0,14.5,7,13,19,25,25,24,15,21,77,0,1009,27,10,119,11,280,"Very unhealthy","2015-06-19","07:17 AM","09:00 PM","04:51 AM","07:00 PM","shanghai"
"533","2015-06-20",28,21,0,14.5,7,21,21,27,27,25,18,35,78,0,1009,28,10,140,14,230,"Very unhealthy","2015-06-20","08:11 AM","09:40 PM","04:51 AM","07:01 PM","shanghai"
"534","2015-06-21",27,21,0,10.2,5,28,20,26,26,24,19,83,82,2.5,1010,27,10,145,14,287,"Very unhealthy","2015-06-21","09:06 AM","10:17 PM","04:51 AM","07:01 PM","shanghai"
"535","2015-06-22",27,21,0,9.1,5,36,22,27,27,24,15,93,90,35.7,1007,27,6,132,11,162,"Unhealthy","2015-06-22","09:59 AM","10:51 PM","04:51 AM","07:01 PM","shanghai"
"536","2015-06-23",30,23,0,10.1,6,44,24,30,30,26,13,78,86,3.7,1008,30,7,106,9,306,"Hazardous","2015-06-23","10:51 AM","11:25 PM","04:52 AM","07:01 PM","shanghai"
"537","2015-06-24",31,24,0,11.2,6,51,25,32,32,27,13,61,85,0.1,1005,31,9,130,10,306,"Hazardous","2015-06-24","11:43 AM","11:57 PM","04:52 AM","07:02 PM","shanghai"
"538","2015-06-25",34,26,0,12.3,7,59,25,37,37,31,25,44,73,4.6,1000,34,10,233,16,280,"Very unhealthy","2015-06-25","12:35 PM","No moonset","04:52 AM","07:02 PM","shanghai"
"539","2015-06-26",27,23,0,9.1,6,66,24,30,30,26,14,82,87,5.1,1002,27,8,200,10,227,"Very unhealthy","2015-06-26","01:28 PM","12:31 AM","04:52 AM","07:02 PM","shanghai"
"540","2015-06-27",25,22,0,9.1,5,74,22,26,26,24,23,99,92,0,1004,25,10,93,17,150,"Unhealthy for sensitive groups","2015-06-27","02:21 PM","01:06 AM","04:53 AM","07:02 PM","shanghai"
"541","2015-06-28",24,22,0,9.1,5,81,21,25,25,23,21,99,92,1,1008,24,9,91,15,150,"Unhealthy for sensitive groups","2015-06-28","03:17 PM","01:44 AM","04:53 AM","07:02 PM","shanghai"
"542","2015-06-29",28,22,0,11.2,6,89,24,29,29,26,23,78,92,0.2,1004,28,7,138,16,230,"Very unhealthy","2015-06-29","04:13 PM","02:25 AM","04:53 AM","07:02 PM","shanghai"
"543","2015-06-30",34,22,0,11.2,7,96,24,34,34,28,29,66,80,0,999,34,10,272,20,311,"Hazardous","2015-06-30","05:10 PM","03:11 AM","04:54 AM","07:02 PM","shanghai"
"544","2015-07-01",26,20,0,12.3,5,100,21,25,25,24,10,58,84,5.3,1002,26,9,146,8,223,"Very unhealthy","2015-07-01","06:07 PM","04:02 AM","04:54 AM","07:02 PM","shanghai"
"545","2015-07-02",27,21,0,14.5,7,100,21,27,27,25,10,26,79,0,1003,27,10,118,8,308,"Hazardous","2015-07-02","07:01 PM","04:58 AM","04:54 AM","07:02 PM","shanghai"
"546","2015-07-03",28,21,0,12.3,6,85,19,27,27,24,14,48,74,0,1006,28,10,96,10,327,"Hazardous","2015-07-03","07:53 PM","05:58 AM","04:55 AM","07:02 PM","shanghai"
"547","2015-07-04",22,19,0,9,5,78,19,21,23,21,15,97,87,5.8,1010,22,10,90,10,301,"Hazardous","2015-07-04","08:41 PM","07:02 AM","04:55 AM","07:02 PM","shanghai"
"548","2015-07-05",21,19,0,9,5,71,18,20,21,20,16,98,86,2.1,1011,21,9,94,11,157,"Unhealthy","2015-07-05","09:26 PM","08:06 AM","04:56 AM","07:02 PM","shanghai"
"549","2015-07-06",20,18,0,9,4,63,17,19,19,19,23,89,90,6.6,1010,20,10,48,14,133,"Unhealthy for sensitive groups","2015-07-06","10:08 PM","09:12 AM","04:56 AM","07:02 PM","shanghai"
"550","2015-07-07",24,19,0,10.1,5,56,19,21,22,21,25,87,86,0,1007,24,10,102,18,138,"Unhealthy for sensitive groups","2015-07-07","10:49 PM","10:16 AM","04:57 AM","07:02 PM","shanghai"
"551","2015-07-08",25,20,0,9,5,49,20,24,24,23,20,91,87,6.2,1009,25,9,66,13,160,"Unhealthy","2015-07-08","11:30 PM","11:20 AM","04:57 AM","07:01 PM","shanghai"
"552","2015-07-09",27,21,0,9,6,42,23,28,28,25,23,95,92,0.4,1009,27,8,42,17,177,"Unhealthy","2015-07-09","No moonrise","12:23 PM","04:58 AM","07:01 PM","shanghai"
"553","2015-07-10",29,23,0,13.4,6,34,23,29,29,26,47,54,83,1,1005,29,10,44,33,143,"Unhealthy for sensitive groups","2015-07-10","12:11 AM","01:26 PM","04:58 AM","07:01 PM","shanghai"
"554","2015-07-11",24,23,0,9,5,27,23,26,26,24,82,100,93,36.1,990,24,7,73,51,125,"Unhealthy for sensitive groups","2015-07-11","12:54 AM","02:27 PM","04:59 AM","07:01 PM","shanghai"
"555","2015-07-12",29,23,0,11.2,6,20,23,28,28,25,44,73,88,0.1,995,29,10,281,28,162,"Unhealthy","2015-07-12","01:39 AM","03:27 PM","04:59 AM","07:00 PM","shanghai"
"556","2015-07-13",33,23,0,14,6,13,24,34,34,29,19,10,77,1.6,1002,33,10,214,11,318,"Hazardous","2015-07-13","02:27 AM","04:25 PM","05:00 AM","07:00 PM","shanghai"
"557","2015-07-14",32,23,0,13.4,6,5,24,33,33,29,15,22,76,0,1003,32,10,125,10,325,"Hazardous","2015-07-14","03:19 AM","05:19 PM","05:00 AM","07:00 PM","shanghai"
"558","2015-07-15",30,23,0,14,7,0,24,31,31,27,18,20,83,0,1003,30,9,105,14,170,"Unhealthy","2015-07-15","04:12 AM","06:09 PM","05:01 AM","07:00 PM","shanghai"
"559","2015-07-16",29,23,0,9.7,6,0,23,28,28,25,21,86,87,0.2,1002,29,8,107,16,160,"Unhealthy","2015-07-16","05:07 AM","06:55 PM","05:01 AM","06:59 PM","shanghai"
"560","2015-07-17",28,23,0,8.5,6,2,23,28,28,25,31,86,87,0,1004,28,10,121,22,203,"Very unhealthy","2015-07-17","06:02 AM","07:37 PM","05:02 AM","06:59 PM","shanghai"
"561","2015-07-18",29,24,0,10.9,6,9,23,29,29,26,27,76,87,0,1005,29,10,130,20,143,"Unhealthy for sensitive groups","2015-07-18","06:56 AM","08:15 PM","05:03 AM","06:58 PM","shanghai"
"562","2015-07-19",30,23,0,8.5,6,16,24,30,30,26,17,78,88,0.1,1006,30,8,83,13,125,"Unhealthy for sensitive groups","2015-07-19","07:50 AM","08:51 PM","05:03 AM","06:58 PM","shanghai"
"563","2015-07-20",30,24,0,10.9,6,24,24,31,31,27,14,67,87,0,1006,30,8,93,10,127,"Unhealthy for sensitive groups","2015-07-20","08:42 AM","09:25 PM","05:04 AM","06:57 PM","shanghai"
"564","2015-07-21",31,23,0,10.9,6,31,24,31,31,27,12,54,84,0,1005,31,8,94,8,240,"Very unhealthy","2015-07-21","09:35 AM","09:58 PM","05:04 AM","06:57 PM","shanghai"
"565","2015-07-22",31,23,0,13.3,6,38,25,34,34,28,9,40,83,10.5,1005,31,7,152,5,220,"Very unhealthy","2015-07-22","10:26 AM","10:30 PM","05:05 AM","06:56 PM","shanghai"
"566","2015-07-23",32,25,0,12.1,6,45,26,34,34,28,16,47,85,6.3,1004,32,8,200,11,210,"Very unhealthy","2015-07-23","11:18 AM","11:04 PM","05:06 AM","06:56 PM","shanghai"
"567","2015-07-24",31,26,0,10.9,6,53,26,35,35,29,15,55,84,3,1003,31,10,192,10,227,"Very unhealthy","2015-07-24","12:11 PM","11:40 PM","05:06 AM","06:55 PM","shanghai"
"568","2015-07-25",33,26,0,13.5,7,60,26,36,36,30,10,29,80,9.8,1004,33,9,178,6,301,"Hazardous","2015-07-25","01:05 PM","No moonset","05:07 AM","06:55 PM","shanghai"
"569","2015-07-26",35,25,0,13.5,7,67,26,38,38,31,12,29,77,5.7,1006,35,10,206,7,318,"Hazardous","2015-07-26","02:00 PM","12:19 AM","05:07 AM","06:54 PM","shanghai"
"570","2015-07-27",35,27,0,13.5,7,74,26,39,39,32,16,22,72,2.2,1008,35,10,217,10,297,"Very unhealthy","2015-07-27","02:56 PM","01:02 AM","05:08 AM","06:53 PM","shanghai"
"571","2015-07-28",36,27,0,13.4,7,82,25,40,40,33,18,11,66,0,1008,36,10,226,11,302,"Hazardous","2015-07-28","03:52 PM","01:50 AM","05:09 AM","06:53 PM","shanghai"
"572","2015-07-29",36,27,0,13.4,8,89,25,39,39,32,18,8,68,0,1008,36,10,200,12,293,"Very unhealthy","2015-07-29","04:47 PM","02:43 AM","05:09 AM","06:52 PM","shanghai"
"573","2015-07-30",34,26,0,13.4,8,96,24,36,36,31,18,8,67,0,1008,34,10,196,12,210,"Very unhealthy","2015-07-30","05:41 PM","03:42 AM","05:10 AM","06:51 PM","shanghai"
"574","2015-07-31",35,26,0,13.4,8,100,24,37,37,31,18,9,65,0,1008,35,10,192,12,247,"Very unhealthy","2015-07-31","06:31 PM","04:44 AM","05:11 AM","06:51 PM","shanghai"
"575","2015-08-01",36,26,0,13.4,7,89,25,39,39,32,14,8,70,0.2,1009,36,10,182,9,306,"Hazardous","2015-08-01","07:19 PM","05:50 AM","05:11 AM","06:50 PM","shanghai"
"576","2015-08-02",36,27,0,13.4,8,82,26,40,40,32,20,6,71,0,1009,36,10,172,14,301,"Hazardous","2015-08-02","08:04 PM","06:56 AM","05:12 AM","06:49 PM","shanghai"
"577","2015-08-03",36,27,0,13.4,8,75,25,39,39,32,23,6,68,0,1008,36,10,171,15,267,"Very unhealthy","2015-08-03","08:47 PM","08:03 AM","05:12 AM","06:48 PM","shanghai"
"578","2015-08-04",37,26,0,13.4,8,67,24,38,38,32,20,5,67,0,1006,37,10,177,14,263,"Very unhealthy","2015-08-04","09:29 PM","09:10 AM","05:13 AM","06:48 PM","shanghai"
"579","2015-08-05",36,26,0,13.3,8,60,25,38,38,31,22,10,71,0,1006,36,10,155,15,233,"Very unhealthy","2015-08-05","10:11 PM","10:14 AM","05:14 AM","06:47 PM","shanghai"
"580","2015-08-06",32,25,0,13.3,7,53,24,33,33,29,28,12,75,0,1007,32,10,137,19,130,"Unhealthy for sensitive groups","2015-08-06","10:54 PM","11:19 AM","05:14 AM","06:46 PM","shanghai"
"581","2015-08-07",32,26,0,13.3,7,46,25,34,34,29,24,46,80,0.1,1010,32,8,90,17,125,"Unhealthy for sensitive groups","2015-08-07","11:39 PM","12:21 PM","05:15 AM","06:45 PM","shanghai"
"582","2015-08-08",31,26,0,10.8,6,38,25,33,33,28,36,63,85,4.1,1009,31,10,86,24,138,"Unhealthy for sensitive groups","2015-08-08","No moonrise","01:22 PM","05:16 AM","06:44 PM","shanghai"
"583","2015-08-09",29,26,0,12,6,31,25,32,32,27,42,67,88,13.2,1007,29,9,101,24,138,"Unhealthy for sensitive groups","2015-08-09","12:26 AM","02:20 PM","05:16 AM","06:43 PM","shanghai"
"584","2015-08-10",27,25,0,10.8,6,24,24,30,30,26,41,78,89,0,1005,27,10,134,24,138,"Unhealthy for sensitive groups","2015-08-10","01:16 AM","03:15 PM","05:17 AM","06:42 PM","shanghai"
"585","2015-08-11",28,24,0,9.5,6,16,23,29,29,26,40,75,84,0,1003,28,10,251,26,162,"Unhealthy","2015-08-11","02:07 AM","04:05 PM","05:18 AM","06:41 PM","shanghai"
"586","2015-08-12",30,22,0,10.8,6,9,22,29,29,27,18,52,78,0.1,1008,30,10,202,12,180,"Unhealthy","2015-08-12","03:01 AM","04:52 PM","05:18 AM","06:40 PM","shanghai"
"587","2015-08-13",30,22,0,13.2,7,2,23,30,30,27,12,29,79,0.1,1008,30,10,137,8,302,"Hazardous","2015-08-13","03:55 AM","05:35 PM","05:19 AM","06:39 PM","shanghai"
"588","2015-08-14",31,23,0,13.2,7,0,21,29,29,27,16,22,73,0,1007,31,10,120,11,223,"Very unhealthy","2015-08-14","04:49 AM","06:14 PM","05:19 AM","06:38 PM","shanghai"
"589","2015-08-15",30,23,0,12,6,0,23,30,30,27,16,44,80,0.7,1006,30,10,95,12,162,"Unhealthy","2015-08-15","05:43 AM","06:51 PM","05:20 AM","06:37 PM","shanghai"
"590","2015-08-16",29,24,0,10.7,6,5,24,30,30,27,19,61,85,0.6,1006,29,8,51,14,197,"Unhealthy","2015-08-16","06:35 AM","07:25 PM","05:21 AM","06:36 PM","shanghai"
"591","2015-08-17",31,23,0,13.1,7,12,23,31,31,28,14,9,77,0,1008,31,9,68,11,267,"Very unhealthy","2015-08-17","07:28 AM","07:58 PM","05:21 AM","06:35 PM","shanghai"
"592","2015-08-18",30,22,0,13.1,7,20,23,29,29,26,18,25,83,0,1010,30,10,97,13,297,"Very unhealthy","2015-08-18","08:19 AM","08:31 PM","05:22 AM","06:34 PM","shanghai"
"593","2015-08-19",31,23,0,13.1,7,27,23,30,30,27,18,21,79,0,1010,31,8,108,13,162,"Unhealthy","2015-08-19","09:11 AM","09:05 PM","05:23 AM","06:33 PM","shanghai"
"594","2015-08-20",31,25,0,10.7,6,34,25,34,34,28,20,61,84,11.6,1007,31,9,236,13,227,"Very unhealthy","2015-08-20","10:03 AM","09:40 PM","05:23 AM","06:32 PM","shanghai"
"595","2015-08-21",28,23,0,8.2,6,42,24,29,29,26,12,92,89,5.6,1006,28,8,171,9,162,"Unhealthy","2015-08-21","10:56 AM","10:16 PM","05:24 AM","06:31 PM","shanghai"
"596","2015-08-22",26,23,0,8.2,5,49,22,27,27,24,21,85,87,0.1,1006,26,9,82,14,150,"Unhealthy for sensitive groups","2015-08-22","11:49 AM","10:56 PM","05:24 AM","06:30 PM","shanghai"
"597","2015-08-23",26,23,0,8.2,5,56,23,27,27,25,26,89,90,1.9,1005,26,9,42,18,150,"Unhealthy for sensitive groups","2015-08-23","12:43 PM","11:41 PM","05:25 AM","06:29 PM","shanghai"
"598","2015-08-24",27,21,0,8.1,5,63,22,27,27,24,35,84,91,2.3,1002,27,10,103,21,162,"Unhealthy","2015-08-24","01:39 PM","No moonset","05:26 AM","06:28 PM","shanghai"
"599","2015-08-25",30,20,0,13,6,71,21,26,26,24,28,38,82,0.4,1006,30,10,315,19,210,"Very unhealthy","2015-08-25","02:33 PM","12:30 AM","05:26 AM","06:27 PM","shanghai"
"600","2015-08-26",29,20,0,13,7,78,22,28,28,26,9,17,79,0.3,1009,29,10,252,6,280,"Very unhealthy","2015-08-26","03:27 PM","01:25 AM","05:27 AM","06:25 PM","shanghai"
"601","2015-08-27",30,22,0,13,6,85,22,30,30,27,9,17,75,0.1,1009,30,10,182,5,335,"Hazardous","2015-08-27","04:18 PM","02:24 AM","05:27 AM","06:24 PM","shanghai"
"602","2015-08-28",29,21,0,13,6,92,22,29,29,27,10,15,76,3.9,1009,29,10,121,6,332,"Hazardous","2015-08-28","05:07 PM","03:28 AM","05:28 AM","06:23 PM","shanghai"
"603","2015-08-29",30,22,0,12.9,7,100,22,29,29,27,11,14,75,0,1008,30,10,79,8,325,"Hazardous","2015-08-29","05:54 PM","04:34 AM","05:29 AM","06:22 PM","shanghai"
"604","2015-08-30",29,21,0,12.9,7,100,22,29,29,26,13,7,77,0,1009,29,10,99,9,315,"Hazardous","2015-08-30","06:39 PM","05:42 AM","05:29 AM","06:21 PM","shanghai"
"605","2015-08-31",29,21,0,12.9,7,89,22,29,29,26,14,18,79,0,1010,29,10,103,10,257,"Very unhealthy","2015-08-31","07:23 PM","06:50 AM","05:30 AM","06:20 PM","shanghai"
"606","2015-09-01",29,23,0,11.9,6,74,22,29,29,26,15,48,79,0.5,1009,29,9,128,10,280,"Very unhealthy","2015-09-01","08:06 PM","07:58 AM","05:30 AM","06:18 PM","shanghai"
"607","2015-09-02",29,23,0,12.9,6,66,22,30,30,27,11,36,73,0.6,1011,29,10,189,7,313,"Hazardous","2015-09-02","08:50 PM","09:05 AM","05:31 AM","06:17 PM","shanghai"
"608","2015-09-03",30,20,0,12.8,7,59,21,30,30,27,15,9,73,0,1014,30,10,236,10,323,"Hazardous","2015-09-03","09:36 PM","10:11 AM","05:32 AM","06:16 PM","shanghai"
"609","2015-09-04",29,22,0,12.8,6,51,22,30,30,27,20,23,75,1.5,1012,29,10,156,15,325,"Hazardous","2015-09-04","10:23 PM","11:14 AM","05:32 AM","06:15 PM","shanghai"
"610","2015-09-05",28,23,0,11.9,6,44,22,29,29,26,14,69,80,1.9,1011,28,9,108,10,247,"Very unhealthy","2015-09-05","11:13 PM","12:14 PM","05:33 AM","06:13 PM","shanghai"
"611","2015-09-06",28,23,0,12.8,6,36,22,29,29,26,15,61,81,0.6,1011,28,9,132,11,203,"Very unhealthy","2015-09-06","No moonrise","01:11 PM","05:33 AM","06:12 PM","shanghai"
"612","2015-09-07",28,20,0,12.8,7,29,21,27,27,25,18,19,80,0.1,1010,28,10,108,13,138,"Unhealthy for sensitive groups","2015-09-07","12:04 AM","02:03 PM","05:34 AM","06:11 PM","shanghai"
"613","2015-09-08",28,21,0,12.8,7,21,20,27,27,25,20,25,74,0.2,1013,28,10,53,14,138,"Unhealthy for sensitive groups","2015-09-08","12:57 AM","02:50 PM","05:34 AM","06:10 PM","shanghai"
"614","2015-09-09",28,19,0,12.7,6,14,17,25,25,24,16,8,67,0,1015,28,10,38,11,125,"Unhealthy for sensitive groups","2015-09-09","01:51 AM","03:35 PM","05:35 AM","06:09 PM","shanghai"
"615","2015-09-10",28,18,0,12.7,6,6,17,25,25,24,14,8,67,0,1015,28,10,176,9,138,"Unhealthy for sensitive groups","2015-09-10","02:44 AM","04:14 PM","05:36 AM","06:07 PM","shanghai"
"616","2015-09-11",29,17,0,12.7,7,0,18,25,25,24,10,23,69,0,1013,29,10,124,6,162,"Unhealthy","2015-09-11","03:38 AM","04:51 PM","05:36 AM","06:06 PM","shanghai"
"617","2015-09-12",22,17,0,11.9,5,0,17,20,21,20,20,50,81,1.3,1016,22,10,317,12,280,"Very unhealthy","2015-09-12","04:30 AM","05:27 PM","05:37 AM","06:05 PM","shanghai"
"618","2015-09-13",26,16,0,12.7,5,0,14,22,22,21,19,36,64,0,1019,26,10,107,12,193,"Unhealthy","2015-09-13","05:23 AM","06:00 PM","05:37 AM","06:04 PM","shanghai"
"619","2015-09-14",26,18,0,11.9,5,1,17,24,24,23,12,48,69,0,1018,26,10,99,8,150,"Unhealthy for sensitive groups","2015-09-14","06:15 AM","06:33 PM","05:38 AM","06:02 PM","shanghai"
"620","2015-09-15",23,19,0,7.9,5,9,19,21,22,21,9,85,88,0.6,1017,23,7,248,6,138,"Unhealthy for sensitive groups","2015-09-15","07:06 AM","07:06 PM","05:38 AM","06:01 PM","shanghai"
"621","2015-09-16",26,19,0,12.6,5,16,19,24,24,23,28,54,78,10.4,1015,26,8,132,18,138,"Unhealthy for sensitive groups","2015-09-16","07:58 AM","07:40 PM","05:39 AM","06:00 PM","shanghai"
"622","2015-09-17",27,22,0,8.8,6,24,21,27,27,25,17,66,81,2.2,1012,27,9,141,12,153,"Unhealthy","2015-09-17","08:50 AM","08:16 PM","05:40 AM","05:58 PM","shanghai"
"623","2015-09-18",27,21,0,8.8,5,32,20,27,27,25,19,60,79,0.5,1013,27,9,150,13,193,"Unhealthy","2015-09-18","09:43 AM","08:55 PM","05:40 AM","05:57 PM","shanghai"
"624","2015-09-19",27,21,0,8.8,6,39,21,27,27,25,17,60,80,0.8,1012,27,9,188,12,138,"Unhealthy for sensitive groups","2015-09-19","10:36 AM","09:37 PM","05:41 AM","05:56 PM","shanghai"
"625","2015-09-20",27,21,0,8.8,5,47,21,27,27,24,19,57,82,2.6,1012,27,9,161,13,237,"Very unhealthy","2015-09-20","11:30 AM","10:23 PM","05:41 AM","05:55 PM","shanghai"
"626","2015-09-21",27,19,0,11.6,6,54,18,24,24,23,19,26,75,0,1013,27,10,75,13,223,"Very unhealthy","2015-09-21","12:23 PM","11:14 PM","05:42 AM","05:53 PM","shanghai"
"627","2015-09-22",27,21,0,7.4,5,62,20,26,26,24,20,75,80,0.2,1012,27,10,134,14,187,"Unhealthy","2015-09-22","01:15 PM","No moonset","05:42 AM","05:52 PM","shanghai"
"628","2015-09-23",27,20,0,7.4,5,69,20,25,25,23,22,71,85,3.7,1008,27,9,277,15,197,"Unhealthy","2015-09-23","02:06 PM","12:09 AM","05:43 AM","05:51 PM","shanghai"
"629","2015-09-24",27,20,0,6,5,77,20,24,24,23,16,80,84,0.8,1008,27,8,115,11,138,"Unhealthy for sensitive groups","2015-09-24","02:55 PM","01:09 AM","05:44 AM","05:50 PM","shanghai"
"630","2015-09-25",24,20,0,11.6,6,84,20,24,24,23,12,53,85,0,1008,24,10,59,8,163,"Unhealthy","2015-09-25","03:42 PM","02:12 AM","05:44 AM","05:48 PM","shanghai"
"631","2015-09-26",27,19,0,11.6,6,92,19,25,25,24,19,13,78,0,1012,27,10,31,14,193,"Unhealthy","2015-09-26","04:27 PM","03:18 AM","05:45 AM","05:47 PM","shanghai"
"632","2015-09-27",27,19,0,10.2,5,99,18,23,23,23,22,21,76,0,1013,27,10,29,15,170,"Unhealthy","2015-09-27","05:11 PM","04:26 AM","05:45 AM","05:46 PM","shanghai"
"633","2015-09-28",26,19,0,6,5,100,19,25,25,23,30,71,80,0.8,1015,26,10,50,21,160,"Unhealthy","2015-09-28","05:55 PM","05:35 AM","05:46 AM","05:45 PM","shanghai"
"634","2015-09-29",24,23,0,6,5,85,22,26,26,24,43,91,91,2.6,1016,24,10,73,27,150,"Unhealthy for sensitive groups","2015-09-29","06:40 PM","06:43 AM","05:47 AM","05:43 PM","shanghai"
"635","2015-09-30",29,25,0,6,6,78,24,30,30,27,30,76,86,0,1013,29,10,145,19,162,"Unhealthy","2015-09-30","07:27 PM","07:51 AM","05:47 AM","05:42 PM","shanghai"
"636","2015-10-01",23,16,0,7.4,5,75,18,22,24,22,36,55,78,2.5,1013,23,10,283,24,177,"Unhealthy","2015-10-01","08:14 PM","08:58 AM","05:48 AM","05:41 PM","shanghai"
"637","2015-10-02",24,14,0,11.6,6,68,14,22,23,22,15,4,61,0,1018,24,10,219,10,200,"Unhealthy","2015-10-02","09:05 PM","10:02 AM","05:48 AM","05:40 PM","shanghai"
"638","2015-10-03",27,16,0,11.6,6,61,19,24,24,23,13,24,77,0,1020,27,10,134,8,230,"Very unhealthy","2015-10-03","09:58 PM","11:02 AM","05:49 AM","05:38 PM","shanghai"
"639","2015-10-04",25,19,0,8.8,5,53,17,22,22,21,18,66,80,1.9,1024,25,10,96,12,163,"Unhealthy","2015-10-04","10:51 PM","11:57 AM","05:50 AM","05:37 PM","shanghai"
"640","2015-10-05",21,19,0,5.9,4,46,18,20,20,20,17,98,86,6.7,1022,21,10,68,11,143,"Unhealthy for sensitive groups","2015-10-05","11:46 PM","12:48 PM","05:50 AM","05:36 PM","shanghai"
"641","2015-10-06",23,19,0,5.9,5,39,17,21,22,21,19,74,78,0.2,1019,23,10,94,12,138,"Unhealthy for sensitive groups","2015-10-06","No moonrise","01:33 PM","05:51 AM","05:35 PM","shanghai"
"642","2015-10-07",24,19,0,5.9,5,31,17,24,24,22,25,90,74,0,1014,24,10,125,17,125,"Unhealthy for sensitive groups","2015-10-07","12:40 AM","02:14 PM","05:51 AM","05:33 PM","shanghai"
"643","2015-10-08",21,18,0,7.3,4,24,17,20,21,20,22,79,86,2.2,1014,21,8,136,14,188,"Unhealthy","2015-10-08","01:34 AM","02:52 PM","05:52 AM","05:32 PM","shanghai"
"644","2015-10-09",24,16,0,10.2,6,17,14,20,21,20,17,17,70,0,1015,24,10,306,11,319,"Hazardous","2015-10-09","02:26 AM","03:28 PM","05:53 AM","05:31 PM","shanghai"
"645","2015-10-10",24,14,0,5.9,5,10,10,19,19,19,22,68,57,0,1015,24,10,291,14,280,"Very unhealthy","2015-10-10","03:19 AM","04:02 PM","05:53 AM","05:30 PM","shanghai"
"646","2015-10-11",22,12,0,11.6,5,2,7,18,18,18,18,11,52,0,1021,22,10,226,12,250,"Very unhealthy","2015-10-11","04:10 AM","04:34 PM","05:54 AM","05:29 PM","shanghai"
"647","2015-10-12",23,12,0,11.6,5,0,8,20,20,20,8,2,46,0,1023,23,10,285,6,337,"Hazardous","2015-10-12","05:02 AM","05:08 PM","05:55 AM","05:27 PM","shanghai"
"648","2015-10-13",24,12,0,11.6,4,0,9,20,20,20,9,31,51,0,1023,24,10,199,5,341,"Hazardous","2015-10-13","05:54 AM","05:42 PM","05:55 AM","05:26 PM","shanghai"
"649","2015-10-14",24,13,0,11.6,6,5,11,20,21,20,12,14,60,0,1021,24,10,111,8,337,"Hazardous","2015-10-14","06:46 AM","06:17 PM","05:56 AM","05:25 PM","shanghai"
"650","2015-10-15",25,15,0,11.6,6,12,16,23,24,23,11,0,68,0,1019,25,10,122,9,180,"Unhealthy","2015-10-15","07:39 AM","06:55 PM","05:57 AM","05:24 PM","shanghai"
"651","2015-10-16",25,15,0,11.6,6,19,18,23,24,23,11,1,72,0,1019,25,10,88,9,247,"Very unhealthy","2015-10-16","08:32 AM","07:36 PM","05:57 AM","05:23 PM","shanghai"
"652","2015-10-17",25,15,0,11.6,6,27,16,23,23,23,13,0,67,0,1020,25,10,68,10,187,"Unhealthy","2015-10-17","09:26 AM","08:20 PM","05:58 AM","05:22 PM","shanghai"
"653","2015-10-18",24,15,0,11.6,6,34,16,21,22,21,14,10,74,0,1019,24,10,69,10,260,"Very unhealthy","2015-10-18","10:18 AM","09:09 PM","05:59 AM","05:21 PM","shanghai"
"654","2015-10-19",24,15,0,11.6,6,41,14,20,21,20,16,34,71,0,1016,24,10,69,10,253,"Very unhealthy","2015-10-19","11:10 AM","10:01 PM","05:59 AM","05:19 PM","shanghai"
